App,Field,Type,Override,Tracking
*apps.AccessSystemLoggingReceiverTomcat,apps.LoggingProcessorTomcatAccess.confgenerator.ConfigComponent.Type,string,,true
*apps.AccessSystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.AccessSystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.AccessSystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.AccessSystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.AccessSystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
*apps.AccessSystemLoggingReceiverTomcat,confgenerator.LoggingReceiverFilesMixin.WildcardRefreshInterval,*time.Duration,,true
*apps.LoggingProcessorApacheAccess,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorApacheError,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorCassandraDebug,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorCassandraGC,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorCassandraSystem,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
*apps.LoggingProcessorCouchbaseGOXDCR,confgenerator.LoggingReceiverFilesMixin.WildcardRefreshInterval,*time.Duration,,true
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
*apps.LoggingProcessorCouchbaseHTTPAccess,confgenerator.LoggingReceiverFilesMixin.WildcardRefreshInterval,*time.Duration,,true
*apps.LoggingProcessorCouchdb,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorFlink,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorHbaseSystem,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorIisAccess,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorJettyAccess,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorKafka,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorMysqlError,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorMysqlGeneral,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorMysqlSlow,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorNginxAccess,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorNginxError,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorPostgresql,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorRedis,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorSapHanaTrace,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorSolrSystem,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorTomcatAccess,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorTomcatSystem,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorVarnish,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingProcessorWildflySystem,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingReceiverActiveDirectoryDS,confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingReceiverApacheAccess,apps.LoggingProcessorApacheAccess.confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingReceiverApacheAccess,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.LoggingReceiverApacheAccess,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.LoggingReceiverApacheAccess,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.LoggingReceiverApacheAccess,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.LoggingReceiverApacheAccess,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
*apps.LoggingReceiverApacheAccess,confgenerator.LoggingReceiverFilesMixin.WildcardRefreshInterval,*time.Duration,,true
*apps.LoggingReceiverApacheError,apps.LoggingProcessorApacheError.confgenerator.ConfigComponent.Type,string,,true
*apps.LoggingReceiverApacheError,confgenerator.LoggingReceiverFilesMixin.BufferInMemory,bool,,true
*apps.LoggingReceiverApacheError,confgenerator.LoggingReceiverFilesMixin.ExcludePaths,[]string,,false
*apps.LoggingReceiverApacheError,confgenerator.LoggingReceiverFilesMixin.IncludePaths,[]string,,false
*apps.LoggingReceiverApacheError,confgenerator.LoggingReceiverFilesMixin.MultilineRules,[]confgenerator.MultilineRule,,false
*apps.LoggingReceiverApacheError,confgenerator.LoggingReceiverFilesMixin.RecordLogFilePath,*bool,,true
